Configuración;Frecuencia (Hz);Archivo;Δt (ms);φ (rad);φ (°)
cerrada;4,2;Forzada-amortiguada4.2hz_1.csv;-8,392977512275412;0,2214854585521937;12,690181998560425
cerrada;4,2;Forzada-amortiguada4.2hz_2.csv;-9,154210449845879;0,24157392250866613;13,84116620016697
cerrada;4,2;Forzada-amortiguada4.2hz_3.csv;-9,293819371814033;0,2452581151631644;14,05225489018282
cerrada;4,2;Forzada-amortiguada4.2hz_4.csv;-10,771379620607258;0,28425001151506324;16,286325986358175
cerrada;4,2;Forzada-amortiguada4.2hz_5.csv;-12,017161999194641;0,3171254339708139;18,169948942782298
cerrada;4,2;Forzada-amortiguada4.2hz_6.csv;-11,43513563627091;0,3017661201047769;17,289925082041613
cerrada;4,3;Forzada-amortiguada4.3hz_1.csv;-26,862437179985044;0,7257611835985617;41,58305275461685
cerrada;4,3;Forzada-amortiguada4.3hz_2.csv;-25,711610354204883;0,6946684933263065;39,801572828309155
cerrada;4,3;Forzada-amortiguada4.3hz_3.csv;-25,03674961940809;0,6764353105972558;38,75688841084373
cerrada;4,3;Forzada-amortiguada4.3hz_4.csv;-24,618070711322783;0,6651235707933131;38,10877346112767
cerrada;4,3;Forzada-amortiguada4.3hz_5.csv;-24,869653243771204;0,6719207513804317;38,498223221357826
cerrada;4,3;Forzada-amortiguada4.3hz_6.csv;-23,9471926791045;0,6469979915150562;37,07025426725377
cerrada;4,3;Forzada-amortiguada4.3hz_7.csv;-25,009519953813662;0,6756996277476918;38,71473688850355
cerrada;4,3;Forzada-amortiguada4.3hz_8.csv;-27,60072897541846;0,7457081274929191;42,72592845394778
cerrada;4,3;Forzada-amortiguada4.3hz_9.csv;-28,465622433845457;0,7690755567350553;44,064783527592766
cerrada;4,45;Forzada-amortiguada4.45hz_1.csv;-50,83782702279012;1,4214345207034684;81,44219889050977
cerrada;4,45;Forzada-amortiguada4.45hz_2.csv;-50,31155935582268;1,4067199848398044;80,59911808802794
cerrada;4,45;Forzada-amortiguada4.45hz_3.csv;-48,63622952184808;1,3598774701408902;77,91523969400063
cerrada;4,45;Forzada-amortiguada4.45hz_4.csv;-49,21686778117718;1,376112217261013;78,84542218544584
cerrada;4,45;Forzada-amortiguada4.45hz_5.csv;-49,557484027797486;1,3856359069938866;79,39108941253157
cerrada;4,45;Forzada-amortiguada4.45hz_6.csv;-49,555567156035984;1,3855823109247167;79,38801858396964
cerrada;4,45;Forzada-amortiguada4.45hz_7.csv;-50,57110612633212;1,4139769578645134;81,01491201438405
cerrada;4,45;Forzada-amortiguada4.45hz_8.csv;-47,98785616860207;1,3417488379671547;76,87654558210052
cerrada;4,45;Forzada-amortiguada4.45hz_9.csv;-48,67680173531773;1,3610118763140975;77,98023637997899
abierta;4,2;Forzada-amortiguada-abierta4.2hz_1.csv;24,189962643384952;-0,6383580750209854;-36,57522351679805
abierta;4,2;Forzada-amortiguada-abierta4.2hz_2.csv;26,374096079643778;-0,6959959985065942;-39,8776332724214
abierta;4,2;Forzada-amortiguada-abierta4.2hz_3.csv;144,99213338090124;-3,826252256885106;-219,22810567192263
abierta;4,2;Forzada-amortiguada-abierta4.2hz_4.csv;24,60608185481189;-0,6493392023051316;-37,20439576447558
abierta;4,2;Forzada-amortiguada-abierta4.2hz_5.csv;23,186972824681074;-0,6118897972740357;-35,05870291091779
abierta;4,2;Forzada-amortiguada-abierta4.2hz_6.csv;19,94780240846697;-0,5264101038142851;-30,161077241602054
abierta;4,3;Forzada-amortiguada-abierta4.3hz_1.csv;-7,666459518607283;0,20713007896322155;11,867679334804073
abierta;4,3;Forzada-amortiguada-abierta4.3hz_2.csv;-6,540984561390656;0,17672233778965862;10,125444101032736
abierta;4,3;Forzada-amortiguada-abierta4.3hz_3.csv;-4,890407314659479;0,13212754215804565;7,5703505230928725
abierta;4,3;Forzada-amortiguada-abierta4.3hz_4.csv;-4,566478047427102;0,12337571942455401;7,068908017417155
abierta;4,3;Forzada-amortiguada-abierta4.3hz_5.csv;-5,372872371624732;0,1451626367937977;8,317206431275084
abierta;4,3;Forzada-amortiguada-abierta4.3hz_6.csv;-7,147124044461717;0,19309883057443272;11,063748020826736
abierta;4,3;Forzada-amortiguada-abierta4.3hz_7.csv;-7,016718707924335;0,18957557872804195;10,861880559866872
abierta;4,45;Forzada-amortiguada-abierta4.45hz_1.csv;-47,772228161492485;1,335719841236066;76,53110951471096
abierta;4,45;Forzada-amortiguada-abierta4.45hz_2.csv;-48,266347832057825;1,3495355135067424;77,32268922695664
abierta;4,45;Forzada-amortiguada-abierta4.45hz_3.csv;-48,268391334874984;1,3495926502023403;77,32596291846973
abierta;4,45;Forzada-amortiguada-abierta4.45hz_4.csv;-49,830221210917905;1,3932616862584684;79,82801437989048
abierta;4,45;Forzada-amortiguada-abierta4.45hz_5.csv;-49,04135409712243;1,3712048240071784;78,56424926359014
abierta;4,45;Forzada-amortiguada-abierta4.45hz_6.csv;-49,83323191389374;1,3933458660393927;79,83283752605779
abierta;4,45;Forzada-amortiguada-abierta4.45hz_7.csv;-49,61890837102523;1,3873533423562656;79,48949121038241
